"Sr.
No.",Product URL,asin,brand_name,title,description,bullet_points,categories,item_height,item_height_unit_of_measure,item_length,item_length_unit_of_measure,item_width,item_width_unit_of_measure
1,https://www.amazon.in/dp/B07CWBTBRK?ref=myi_title_dp&th=1,B07CWBTBRK,Mush,"Mush 600 GSM Bath Towel 1 - Olive Green | 100% Bamboo |Ultra Soft, Absorbent & Quick Dry Towel for Bath, Beach, Pool, Travel, Spa & Shower | 29 x 59 Inches",--,"Large Size - 75 cms X 150 cms ; Material : Terry - 100% Bamboo Overall: 70% Bamboo 30% Cotton; Weight: 600 GSM
Highly Absorbent and Odorless : Bamboo Fibers are 3 times more absorbent than Cotton due to its porous cross section
Ultra soft: bamboo Towels are softer than softest cotton with a natural sheen like silk and cashmere","Home & Kitchen
Home Furnishing
Bathroom Linen
Towels
Bath Towels",--,--,--,--,--,--
2,https://www.amazon.in/dp/B07CWB65DY?ref=myi_title_dp&th=1,B07CWB65DY,Mush,"Mush 600 GSM Bath Towel 1 - Pink | 100% Bamboo |Ultra Soft, Absorbent & Quick Dry Towel for Bath, Beach, Pool, Travel, Spa & Shower | 29 x 59 Inches",--,"Large Size - 75 cms X 150 cms ; Material : Terry - 100% Bamboo Overall: 70% Bamboo 30% Cotton; Weight: 600 GSM
Highly Absorbent and Odorless : Bamboo Fibers are 3 times more absorbent than Cotton due to its porous cross section
Ultra soft: bamboo Towels are softer than softest cotton with a natural sheen like silk and cashmere","Home & Kitchen
Home Furnishing
Bathroom Linen
Towels
Bath Towels",--,--,--,--,--,--
3,https://www.amazon.in/dp/B01M7SYOGO?ref=myi_title_dp&th=1,B0B31WK1NV,STRAUSS,"Strauss Anti Skid PVC Exercise Yoga Mat with Carry Bag for Men & Women, Extra Thick Mat for Workout Yoga Fitness and Pilates, Anti Tear Anti Slip For Home & Gym Use, Sizes - 4mm/6mm/8mm, (Multicolor)",--,"CLASSIC YOGA MAT: 68"" Long and 24"" wide ensures comfort for all types of exercise. The 4mm thick premium mat comfortably cushions spine, hips, knees, and elbows on hard floors while keeping you balanced.
LIGHTWEIGHT & THICK YOGA MAT: These durable, yet lightweight exercise yoga mats are extra thick for the additional cushioning your joints need during any yoga or fitness routine
STICKY NON SLIP TEXTURE: Yoga mat features a textured sticky non slip surface for excellent traction and superior grip to keep you motivated and focused
ANTI TEAR YOGA MAT: With integrated anti-tearing net and high quality material, you can use this mat for most yoga poses and exercise activities.
Easy to clean: the moisture-resistant technology and good quality make the mat to be easily washed with soap and water",--,8,Centimeters,61,Centimeters,10,Centimeters
4,https://www.amazon.in/dp/B09F5PL8HR?ref=myi_title_dp&th=1,B09F5PL8HR,,"Mush 600 GSM Hand Towel Set of 2 | 100% Bamboo |Ultra Soft, Absorbent & Quick Dry Towel for Gym, Pool, Travel, Spa and Yoga | 29.5 x 14 Inches (Navy Blue & Grey)","Mush hand towels are made out of 100% Bamboo Terry which makes it extremely soft, 3x more absorbent than cotton, naturally anti-odor, and moisture wicking. Different colors for you to pick. 2 pcs 29.5"" x 14"" perfect size for Napkin, poolside, bathroom, Beach, sauna, college dorm room, spa or gym use. It comes in an eco friendly reusable fabric bag making it easy to carry on the go The bamboo fibers ensure quick dry, odorless properties. Switch to Bamboo today ! Why Bamboo? The fibers made out of Bamboo have numerous performance advantages as compared to others: Performance Advantage: - Ultra Soft - Highly absorbent (Up to 3 times more absorbent than cotton)","Ultra Soft : Mush Hand towels are designed with ultra-soft bamboo fibers that is suitable for sensitive skin. Mush Towel retains softness even after multiple washes.
Super Absorbent : The Bamboo Fabric is more absorbent & breathable than any other fabric due to a wider cross section. This allows it to absorb 3x times more water while preventing dampen odor common in other cotton towels.
Multipurpose : These towels can be used as a pool towel, yoga towel, gym towel, spa etc. Add a touch of elegance to your bathroom with these premium towels. For every occasion our hand towel set makes a perfect gift for your family and friends!
Beautifully Packed: Your Hand towel set comes carefully packed in an eco-friendly fabric bag which makes it convenient to carry it along at work / travel / Gym","Home & Kitchen
Home Furnishing
Bathroom Linen
Towels
Bath Towels",--,--,--,--,--,--
5,https://www.amazon.in/dp/B09F5SR1GY?ref=myi_title_dp&th=1,B09F5SR1GY,Mush,"Mush Bamboo Face Towel Set of 3 | 100% Bamboo |Ultra Soft, Absorbent & Quick Dry Towel for facewash, GYM, Pool, Travel, Spa, Beauty Salonand Yoga | 14 x 14 Inches (grey, sky blue, navy blue) 500 GSM",--,"Size - 35 * 35 cms square towels ; Pack of 3
Ultra Soft: Bamboo Fabric is softer than softest cotton with a natural sheen like silk and cashmere.
Highly Absorbent and Odorless : Bamboo Fibers are 3 times more absorbent than Cotton due to its porous cross section","Home & Kitchen
Home Furnishing
Bathroom Linen
Towels
Face Towels",--,--,--,--,--,--
6,https://www.amazon.in/dp/B07S8Q85B4?ref=myi_title_dp&th=1,B07S8Q85B4,Mush,"Mush 600 GSM Bath Towel 1 - Navy Blue | 100% Bamboo |Ultra Soft, Absorbent & Quick Dry Towel for Bath, Beach, Pool, Travel, Spa & Shower | 29 x 59 Inches",--,"Large Size - 75 cms X 150 cms ; Material : Terry - 100% Bamboo Overall: 70% Bamboo 30% Cotton; Weight: 600 GSM
Highly Absorbent and Odorless : Bamboo Fibers are 3 times more absorbent than Cotton due to its porous cross section
Ultra soft: bamboo Towels are softer than softest cotton with a natural sheen like silk and cashmere","Home & Kitchen
Home Furnishing
Bathroom Linen
Towels
Bath Towels",--,--,--,--,--,--
7,https://www.amazon.in/dp/B07SRVPJMX?ref=myi_title_dp&th=1,B07SRVPJMX,Mush,"Mush 600 Gsm Hand Towel Set Of 2 - Green & Pink | 100% Bamboo |Ultra Soft, Absorbent & Quick Dry Towel For Gym, Pool, Travel, Spa And Yoga | 29.5 X 14 Inches","Enhance your bathing experience with an irresistible silky soft Mush bamboo towel. The bamboo fibers ensure quick dry, odorless & ultra soft. Switch to Bamboo today !","Ultra Soft : Mush Hand towels are designed with ultra-soft bamboo fibers that is suitable for sensitive skin. Mush Towel retains softness even after multiple washes.
Super Absorbent : The Bamboo Fabric is more absorbent & breathable than any other fabric due to a wider cross section. This allows it to absorb 3x times more water while preventing dampen odor common in other cotton towels.
Multipurpose : 2 pcs of 29.5"" x 14"" perfect sized towels for Napkin/ home, poolside, bathroom, Beach, sauna, college dorm room, spa or gym use. Different colors for you to pick
Beautifully Packed: Your Hand towel set comes carefully packed in an eco-friendly fabric bag which makes it convenient to carry it along at work / travel / Gym. For every occasion our hand towel set makes a perfect gift for your family and friends!","Home & Kitchen
Home Furnishing
Bathroom Linen
Towels
Hand Towels",--,--,--,--,--,--
8,https://www.amazon.in/dp/B0819PW15B?ref=myi_title_dp&th=1,B0819PW15B,Mush,"Mush 600 GSM Bath Towel 1 - Grey | 100% Bamboo |Ultra Soft, Absorbent & Quick Dry Towel for Bath, Beach, Pool, Travel, Spa and Shower | 29 x 59 Inches",--,"Large Size - 75 cms X 150 cms ; Material : Terry - 100% Bamboo Overall: 70% Bamboo 30% Cotton; Weight: 600 GSM
Highly Absorbent and Odorless : Bamboo Fibers are 3 times more absorbent than Cotton due to its porous cross section
Ultra soft: bamboo Towels are softer than softest cotton with a natural sheen like silk and cashmere","Home & Kitchen
Home Furnishing
Bathroom Linen
Towels
Bath Towels",--,--,--,--,--,--
9,https://www.amazon.in/dp/B07R6DDL5C?ref=myi_title_dp&th=1,B07R6DDL5C,Mush,"Mush Bamboo Face Towel Multicolor Set of 5| 100% Bamboo |Ultra Soft, Absorbent & Quick Dry Towel -200 gsm for Facewash, GYM, Pool, Travel, Spa, Beauty Salon and Yoga | 14 x 14 Inches",--,"Eco Friendly: Requires very less water and no pesticides (naturally anti microbial). It releases 35% more oxygen. It comes along with an eco-friendly reusable packaging
Highly Absorbent and Odorless : Bamboo Fibers are 3 times more absorbent than Cotton due to its porous cross section
Size - 35 * 35 cms square towels ; Pack of 5
Anti Microbial: The natural presence of â€œBamboo Kunâ€ â€“ a biological agent, makes bamboo towel antimicrobial
Ultra Soft: Bamboo Fabric is softer than softest cotton with a natural sheen like silk and cashmere.","Home & Kitchen
Home Furnishing
Bathroom Linen
Towels
Face Towels",--,--,--,--,--,--
10,https://www.amazon.in/dp/B09F5Z518M?ref=myi_title_dp&th=1,--,--,--,--,--,--,--,--,--,--,--,--
11,https://www.amazon.in/dp/B07GCHY9HX?ref=myi_title_dp&th=1,B07GCHY9HX,Mush,"Mush 600 GSM Bath Towel 1 - Sky Blue | 100% Bamboo |Ultra Soft, Absorbent & Quick Dry Towel for Bath, Beach, Pool, Travel, Spa & Shower | 29 x 59 Inches",--,"Large Size - 75 cms X 150 cms ; Material : Terry - 100% Bamboo Overall: 70% Bamboo 30% Cotton; Weight: 600 GSM
Highly Absorbent and Odorless : Bamboo Fibers are 3 times more absorbent than Cotton due to its porous cross section
Ultra soft: bamboo Towels are softer than softest cotton with a natural sheen like silk and cashmere","Home & Kitchen
Home Furnishing
Bathroom Linen
Towels
Bath Towels",--,--,--,--,--,--
12,https://www.amazon.in/dp/B07CW9WNLP?ref=myi_title_dp&th=1,B07CW9WNLP,Mush,"Mush 600 GSM Bath Towel 1 - Cream | 100% Bamboo |Ultra Soft, Absorbent & Quick Dry Towel for Bath, Beach, Pool, Travel, Spa & Shower | 29 x 59 Inches",--,"Large Size - 75 cms X 150 cms ; Material : Terry - 100% Bamboo Overall: 70% Bamboo 30% Cotton; Weight: 600 GSM
Highly Absorbent and Odorless : Bamboo Fibers are 3 times more absorbent than Cotton due to its porous cross section
Ultra soft: bamboo Towels are softer than softest cotton with a natural sheen like silk and cashmere","Home & Kitchen
Home Furnishing
Bathroom Linen
Towels
Bath Towels",--,--,--,--,--,--
