ASIN,AMZScout_LQS
B075M9WHY5,60
B07QGZPDLK,70
B07DHKH4XD,60
B07QGZN74S,69
B07QFVW623,60
B014PIG72M,60
B07GKZZYNT,60
B08GFCTNQN,65
B014PIKNR2,66
B07N19MQDW,60
B07QJ53146,64
B07D8QCRDX,47
B08FB3LV8F,74
B07PSJ7672,60
B08FB6Q7DW,64
B075JCJYN6,74
B07Y9QG7BY,74
B08HN9XJT5,
B07D8PF4ZW,65
B07YB8BDNT,65
B082KQDWK3,60
B07D8RR888,62
B07TLW2QBR,76
B07QKMK7SG,74
B07QK72B8N,74
B07D8QSSVD,47
B071NPMVBR,77
B08FB74ZC9,60
B08QRX6FRD,74
B01B6MV69Y,70
B01B6MV4FK,67
B08HN79WLM,50
B08XZ5GGF3,60
B07DHKXFGF,76
B08XZ8XQLQ,
B07MYFQPXF,70
B08XZ8D4NC,70
B07QGZPDLY,70
B075JBR528,70
B08Y91HVMW,70
B072BJLV3R,70
B07QFVWB1Y,70
B07QK66R32,70
B08FXG432Y,74
B07D8SNSHH,62
B07QJ53564,68
B07QGZN6WC,74
B07QFVW5WL,70
B07QJ53F9D,
B08XZ7FZBB,60
B07QCT15S5,80
B07QFVVZ1N,
B08XZD971N,
B085TG12FS,
B09HKQBM7M,
B07D8NRZD1,
B07YB8D4ZS,
B0725M1L76,
B08XZB19DD,
