ASIN,Product Name,Brand,Category,Est. Monthly Revenue,Est. Monthly Sales,Price,Fees,Net,Rank,Reviews,LQS,Sellers,Date First Available,Buy Box Owner,Rating,Dimensions,Product Tier,Weight
B0B4P2BX7H,STRAUSS - ST-1349 Bicycle Solar Tail Light,STRAUSS,"Sports, Fitness & Outdoors","₹33,970.00",158,₹215.00,₹52.30,₹162.70,381,2805,5,3,06/03/2018,RetailEZ Pvt Ltd,4,4.80cm x 8.20cm x 14.00cm,Small,0.07 kg
B07DHKH4XD,STRAUSS - ST-1349 Bicycle Solar Tail Light,STRAUSS,"Sports, Fitness & Outdoors",--,--,₹215.00,₹52.30,₹162.70,381,2805,5,3,06/03/2018,RetailEZ Pvt Ltd,4,4.80cm x 8.20cm x 14.00cm,Small,0.07 kg
B07PSJ7672,STRAUSS - ST-1509 Thumb Support with Wrist Wrap  Free Size  (Black),STRAUSS,Health & Personal Care,"₹5,933.00",17,₹349.00,₹49.98,₹299.02,"4,147",377,5,2,03/17/2019,RetailEZ Pvt Ltd,3.7,4.00cm x 9.80cm x 21.40cm,Small,0.1 kg
B0836YP1YW,Strauss Adjustable Hand Grip Strengthener with Counter for Beginners,STRAUSS,"Sports, Fitness & Outdoors",< ₹0.00,< 5,₹268.00,₹53.36,₹214.64,"16,506",100.5,5,1,01/19/2019,Khel Kood,3.25,3.40cm x 12.10cm x 19.70cm,Small,0.13 kg
B0B31WK1NV,Strauss Anti Skid PVC Exercise Yoga Mat with Carry Bag for Men & Women  Extra Thick Mat for Workout Yoga Fitness and Pilates  Anti Tear Anti Slip For Home & Gym Use  Sizes - 4mm/6mm/8mm  (Multicolor),STRAUSS,"Sports, Fitness & Outdoors","₹134,848.00",172,₹784.00,₹117.68,₹666.32,479,12076,6,3,09/05/2015,RetailEZ Pvt Ltd,3.9,13.10cm x 13.40cm x 62.40cm,Oversize,1.44 kg
B08Y91HVMW,Strauss Anti-Microbial Sports Cooling Towel  80 cm  (Grey),STRAUSS,"Sports, Fitness & Outdoors",< ₹0.00,< 5,₹210.00,₹52.20,₹157.80,"30,049",9,6,3,01/17/2017,GlobalBees-Brands,3.2,11.60cm x 9.80cm x 1.90cm,Small,0.4492 kg
B0B8CRJ9J1,Strauss Bicycle Flash Tail Light with Laser  (Black),STRAUSS,"Sports, Fitness & Outdoors","₹79,365.00",429,₹237.00,₹51.70,₹185.30,111,4927.5,5,4,08/16/2018,RetailEZ Pvt Ltd,3.7,3.80cm x 7.50cm x 10.80cm,Small,0.06 kg
B09J8HFT56,Strauss Bicycle Sponge & Gel Saddle Seat Covers  Cycle Seat Cushion  (Multicolor),STRAUSS,"Sports, Fitness & Outdoors","₹167,048.00",532,₹314.00,₹54.28,₹259.72,80,5401,6,1,08/20/2020,Khel Kood,3.6,26.40cm x 19.00cm x 3.00cm,Small,0.09 kg
B08C22V76S,Strauss Chest Expander with 5 Springs,STRAUSS,"Sports, Fitness & Outdoors","₹26,151.00",69,₹379.00,₹71.58,₹307.42,"1,049",1358,5,5,08/31/2015,RetailEZ Pvt Ltd,4.1,"14.25"" x 5.51"" x 2.36""",Standard,0.93 lbs
B09JLQKYWY,Strauss Compression Knee Support |Knee Support for Men and Women|Knee Cap|Knee Brace|Knee Guard |Knee Cap|Knee Pain Relief |Knee Belt|Joint Pain Relief |(Pair) Large,STRAUSS,Health & Personal Care,"₹3,892.00",14,₹276.50,₹36.56,₹239.94,"9,295",244.5,6,3,02/26/2016,RetailEZ Pvt Ltd,3.9,22.00cm x 15.01cm x 7.01cm,Small,0.2359 kg
B01B6MV69Y,Strauss Elastic Waist Trimmer (KD333),STRAUSS,Health & Personal Care,< ₹0.00,< 5,₹191.27,₹41.83,₹149.44,"29,077",380,4,3,01/28/2016,RetailEZ Pvt Ltd,3.6,"9.40"" x 4.80"" x 1.70""",Small,0.3 lbs
